,Touches,Goal Rate,Assist Rate,Pass Rate,Shot Rate,
Redwoods logo,58,1.72%,0.00%,89.66%,1.72%,8.62%
Arden Cohen,,,,,,
Whipsnakes logo,54,3.70%,1.85%,70.37%,22.22%,7.41%
Garrett Leadmon,,,,,,
Atlas logo,52,1.92%,3.85%,90.38%,5.77%,3.85%
Chet Comizio,,,,,,
Archers logo,52,3.85%,1.92%,69.23%,17.31%,13.46%
Jared Conners,,,,,,
Atlas logo,51,3.92%,0.00%,86.27%,7.84%,5.88%
Michael Rexrode,,,,,,
Atlas logo,51,1.96%,0.00%,96.08%,1.96%,1.96%
Gavin Adler,,,,,,
Chaos logo,50,2.00%,0.00%,84.00%,14.00%,2.00%
Jarrod Neumann,,,,,,
Atlas logo,50,0.00%,2.00%,84.00%,14.00%,2.00%
Justin Guterding,,,,,,
Redwoods logo,49,2.04%,0.00%,73.47%,26.53%,0.00%
Anthony DeMaio,,,,,,
Waterdogs logo,47,4.26%,2.13%,78.72%,8.51%,12.77%
Jake Higgins,,,,,,
Redwoods logo,47,4.26%,4.26%,82.98%,14.89%,2.13%
Kevin Rogers,,,,,,
Waterdogs logo,47,4.26%,4.26%,85.11%,10.64%,4.26%
Charlie Hayes,,,,,,
Waterdogs logo,47,8.51%,4.26%,76.60%,17.02%,6.38%
Thomas McConvey,,,,,,
Cannons logo,46,0.00%,2.17%,82.61%,6.52%,10.87%
Pat Aslanian,,,,,,
Whipsnakes logo,45,2.22%,0.00%,86.67%,8.89%,4.44%
Tyler Warner,,,,,,
Archers logo,45,6.67%,0.00%,66.67%,33.33%,0.00%
Ryan Aughavin,,,,,,
Cannons logo,44,0.00%,0.00%,93.18%,0.00%,6.82%
Max Wayne,,,,,,
Cannons logo,44,6.82%,0.00%,70.45%,22.73%,6.82%
Adam Charalambides,,,,,,
Chaos logo,43,0.00%,2.33%,95.35%,2.33%,2.33%
Mark Glicini,,,,,,
Archers logo,42,0.00%,2.38%,92.86%,0.00%,7.14%
Warren Jeffrey,,,,,,
Whipsnakes logo,41,0.00%,2.44%,85.37%,9.76%,4.88%
