,Touches,Goalm Rate,Assist Rate,Pass Rate,Shot Rate,Turnover Rate
Redwoods logo,26,0.00%,3.85%,76.92%,11.54%,11.54%
John Sexton,,,,,,
Redwoods logo,24,0.00%,0.00%,87.50%,0.00%,12.50%
Finn Sullivan,,,,,,
Redwoods logo,23,0.00%,4.35%,95.65%,4.35%,0.00%
Patrick Harbeson,,,,,,
Archers logo,22,0.00%,0.00%,90.91%,0.00%,9.09%
Matt McMahon,,,,,,
Chaos logo,21,0.00%,0.00%,95.24%,0.00%,4.76%
Brett Kennedy,,,,,,
Redwoods logo,20,0.00%,0.00%,90.00%,10.00%,0.00%
Ryan Hallenbeck,,,,,,
